DepMap_ID,Cluster
ACH-001036,0
ACH-001038,1
ACH-001041,4
ACH-001048,4
ACH-001050,4
ACH-001053,1
ACH-001054,1
ACH-001061,1
ACH-001067,3
ACH-001075,2
ACH-001096,1
ACH-001098,2
ACH-001099,3
ACH-001128,1
ACH-001129,0
ACH-001134,0
ACH-001145,2
ACH-001151,3
ACH-001163,2
ACH-001164,2
ACH-001172,1
ACH-001183,1
ACH-001184,2
ACH-001188,0
ACH-001190,3
ACH-001192,1
ACH-001193,1
ACH-001194,3
ACH-001196,2
ACH-001197,0
ACH-001211,2
ACH-001228,1
ACH-001229,2
ACH-001232,4
ACH-001239,2
ACH-001274,4
ACH-001275,2
ACH-001277,2
ACH-001278,2
ACH-001279,3
ACH-001280,2
ACH-001283,1
ACH-001289,2
ACH-001295,0
ACH-001300,0
ACH-001301,0
ACH-001302,0
ACH-001303,0
ACH-001306,4
ACH-001307,4
ACH-001310,4
ACH-001318,2
ACH-001322,2
ACH-001328,3
ACH-001329,3
ACH-001332,2
ACH-001333,2
ACH-001334,3
ACH-001335,3
ACH-001336,2
ACH-001338,0
ACH-001340,2
ACH-001341,2
ACH-001344,4
ACH-001345,1
ACH-001346,2
ACH-001347,2
ACH-001353,3
ACH-001354,0
ACH-001356,2
ACH-001360,1
ACH-001366,0
ACH-001368,1
ACH-001370,4
ACH-001374,1
ACH-001375,3
ACH-001377,2
ACH-001379,3
ACH-001380,3
ACH-001382,4
ACH-001385,2
ACH-001386,0
ACH-001388,1
ACH-001389,3
ACH-001390,1
ACH-001391,1
ACH-001393,1
ACH-001394,3
ACH-001396,1
ACH-001398,3
ACH-001399,3
ACH-001400,3
ACH-001402,2
ACH-001403,3
ACH-001407,3
ACH-001408,2
ACH-001409,2
ACH-001411,1
ACH-001412,3
ACH-001413,3
ACH-001414,3
ACH-001415,2
ACH-001416,1
ACH-001418,2
ACH-001419,1
ACH-001421,0
ACH-001422,2
ACH-001430,2
ACH-001431,0
ACH-001433,4
ACH-001442,2
ACH-001443,2
ACH-001450,0
ACH-001451,3
ACH-001453,3
ACH-001454,2
ACH-001458,1
ACH-001459,3
ACH-001460,1
ACH-001461,1
ACH-001484,0
ACH-001485,0
ACH-001494,3
ACH-001495,2
ACH-001496,1
ACH-001497,1
ACH-001498,0
ACH-001500,3
ACH-001509,3
ACH-001510,3
ACH-001511,3
ACH-001513,1
ACH-001515,2
ACH-001517,2
ACH-001518,2
ACH-001520,0
ACH-001521,3
ACH-001522,2
ACH-001523,1
ACH-001524,1
ACH-001525,1
ACH-001526,2
ACH-001528,2
ACH-001529,1
ACH-001530,1
ACH-001532,2
ACH-001533,0
ACH-001536,4
ACH-001538,3
ACH-001539,0
ACH-001542,1
ACH-001543,3
ACH-001547,4
ACH-001548,1
ACH-001549,0
ACH-001550,3
ACH-001551,3
ACH-001552,4
ACH-001554,1
ACH-001555,2
ACH-001556,2
ACH-001557,3
ACH-001558,3
ACH-001559,2
ACH-001560,4
